"cd_estado_municipio";"ds_municipio"
"3171402";Vieiras
"1302504";Manacapuru
"1506906";Santarém Novo
"5221858";Valparaíso de Goiás
"3102902";Antônio Carlos
"2207207";Padre Marcos
"3505005";Barão de Antonina
"2407807";Monte Alegre
"2917409";Jacaraci
"2205706";Luís Correia
"3200508";Apiacá
"2507903";Juripiranga
"2202208";Campo Maior
"5201108";Anápolis
"3169703";Turmalina
"3169109";Toledo
"2402501";Carnaubais
"4121752";Reserva do Iguaçu
"3153301";Presidente Kubitschek
"4104451";Cantagalo
"1301951";Itamarati
"5106703";Ponte Branca
"4302204";Boa Vista do Buricá
"3155306";Rio Manso
"2110005";Santa Luzia
"2925931";Quixabeira
"4311270";Lagoa dos Três Cantos
"5209903";Iaciara
"2920452";Mansidão
"2923100";Olindina
"2806107";Rosário do Catete
"3534708";Ourinhos
"2607802";Itaquitinga
"4212304";Paulo Lopes
"3506003";Bauru
"4307906";Farroupilha
"3172004";Visconde do Rio Branco
"3526803";Lençóis Paulista
"2305308";Ibiapina
"4306601";Dom Pedrito
"2925303";Porto Seguro
"3523107";Itaquaquecetuba
"2901155";América Dourada
"4109757";Ibema
"4320602";Severiano de Almeida
"5213004";Maurilândia
"4306734";Doutor Maurício Cardoso
"2928901";São Desidério
"5205901";Corumbaíba
"4307815";Estrela Velha
"5219100";Santa Bárbara de Goiás
"2929909";Seabra
"3305158";São José do Vale do Rio Preto
"2205581";Lagoa do Piauí
"3113701";Carlos Chagas
"1100924";Chupinguaia
"2207553";Paquetá
"2405900";João Dias
"3165305";São Vicente de Minas
"4218954";Urupema
"3122108";Divino das Laranjeiras
"4107009";Curiúva
"2705507";Murici
"2201572";Belém do Piauí
"2111052";São João do Paraíso
"2502102";Boa Ventura
"4114203";Mandaguari
"3138682";Luislândia
"2708402";São José da Tapera
"3125309";Faria Lemos
"2923803";Paripiranga
"3521408";Iracemápolis
"3113503";Carbonita
"3115607";Cedro do Abaeté
"3533403";Nova Odessa
"3120839";Cuparaque
"3120607";Crucilândia
"3544301";Roseira
"2804201";Monte Alegre de Sergipe
"4319711";São Valentim do Sul
"3529807";Mineiros do Tietê
"4322533";Vale do Sol
"3526209";Juquitiba
"2919405";Licínio de Almeida
"3504404";Avanhandava
"3529609";Meridiano
"2608800";Lajedo
"3112000";Candeias
"3147709";Passa Tempo
"2803302";Japaratuba
"2919702";Macarani
"2926657";Ribeirão do Largo
"2301851";Banabuiú
"1503457";Ipixuna do Pará
"3525805";Júlio Mesquita
"3169802";Turvolândia
